,Power Load,NaturalGasBoiler,Total Power Consumption,Marginal Power Price,Marginal Power Emissions,Grid Power
2023-07-09 16:45:00,5930.539640702848,0.0,5930.539640702848,0.22451,0.3501599778614115,1482.634910175712
2023-07-09 17:00:00,5859.8340040591875,0.0,5859.8340040591875,0.22451,0.3194306517297254,1464.9585010147969
2023-07-09 17:15:00,5530.655329773686,0.0,5530.655329773686,0.22451,0.358447980139831,1382.6638324434216
2023-07-09 17:30:00,5682.976878762529,0.0,5682.976878762529,0.22451,0.4047717616951343,1420.7442196906322
2023-07-09 17:45:00,5461.592634276384,0.0,5461.592634276384,0.22451,0.4394062379906432,1365.398158569096
2023-07-09 18:00:00,5496.4556503249805,0.0,5496.4556503249805,0.22451,0.3228657663177598,1374.1139125812451
2023-07-09 18:15:00,5504.789574695746,0.0,5504.789574695746,0.22451,0.358101582941764,1376.1973936739364
2023-07-09 18:30:00,5368.7945841737155,0.0,5368.7945841737155,0.22451,0.45971952802883,1342.1986460434289
2023-07-09 18:45:00,5407.281003519951,0.0,5407.281003519951,0.22451,0.5889700176990211,1351.8202508799877
2023-07-09 19:00:00,5176.86292407182,0.0,5176.86292407182,0.22451,0.5509583947357722,1294.215731017955
2023-07-09 19:15:00,5158.545423034636,0.0,5158.545423034636,0.22451,0.6129783648723773,1289.636355758659
2023-07-09 19:30:00,4784.144268286185,0.0,4784.144268286185,0.22451,0.6637500000000002,1196.0360670715463
2023-07-09 19:45:00,5085.3912887392435,0.0,5085.3912887392435,0.22451,0.6637500000000002,1271.3478221848109
2023-07-09 20:00:00,4891.072417343923,0.0,4891.072417343923,0.22451,0.6637500000000002,1222.7681043359808
2023-07-09 20:15:00,5158.636545823556,0.0,5158.636545823556,0.22451,0.6116472362722263,1289.659136455889
2023-07-09 20:30:00,4736.6502682643295,0.0,4736.6502682643295,0.22451,0.5422927150028573,1184.1625670660824
2023-07-09 20:45:00,4953.701321417591,0.0,4953.701321417591,0.22451,0.5445754504792099,1238.4253303543978
2023-07-09 21:00:00,4850.167234498382,0.0,4850.167234498382,0.17577,0.6227046803521663,1212.5418086245954
2023-07-09 21:15:00,4845.194010186533,0.0,4845.194010186533,0.17577,0.6335221795517979,1211.2985025466332
2023-07-09 21:30:00,4812.98818165741,0.0,4812.98818165741,0.17577,0.555919226432445,1203.2470454143524
2023-07-09 21:45:00,4611.339087794764,0.0,4611.339087794764,0.17577,0.5101481471190518,1152.834771948691
2023-07-09 22:00:00,4832.207130246132,0.0,4832.207130246132,0.17577,0.6222497876750825,1208.051782561533
2023-07-09 22:15:00,4016.435527727319,0.0,4016.435527727319,0.17577,0.5423916546347511,1004.1088819318297
2023-07-09 22:30:00,3847.89658388797,0.0,3847.89658388797,0.17577,0.4619761905978012,961.9741459719925
2023-07-09 22:45:00,3065.8706050370756,0.0,3065.8706050370756,0.17577,0.3927614450638773,766.4676512592689
2023-07-09 23:00:00,2963.4838731408454,0.0,2963.4838731408454,0.14177,0.376771737382731,740.8709682852113
2023-07-09 23:15:00,2605.55826042052,0.0,2605.55826042052,0.14177,0.3334753783796539,651.38956510513
2023-07-09 23:30:00,2669.493252758179,0.0,2669.493252758179,0.14177,0.3293225536767811,667.3733131895448
2023-07-09 23:45:00,2730.4862494862887,0.0,2730.4862494862887,0.14177,0.302197725625743,682.6215623715722
2023-07-10 00:00:00,2946.2609242810245,0.0,2946.2609242810245,0.14177,0.3957257646710542,736.5652310702561
2023-07-10 00:15:00,2814.2954470311465,0.0,2814.2954470311465,0.14177,0.3462231858196988,703.5738617577866
2023-07-10 00:30:00,2815.0415233252343,0.0,2815.0415233252343,0.14177,0.3263800398437386,703.7603808313086
2023-07-10 00:45:00,2844.5546357685057,0.0,2844.5546357685057,0.14177,0.3165972752537939,711.1386589421264
2023-07-10 01:00:00,2867.188526448411,0.0,2867.188526448411,0.14177,0.3308730056933928,716.7971316121027
2023-07-10 01:15:00,2819.778726461066,0.0,2819.778726461066,0.14177,0.3210129987592502,704.9446816152665
2023-07-10 01:30:00,2810.390786648641,0.0,2810.390786648641,0.14177,0.3052507509774505,702.5976966621603
2023-07-10 01:45:00,2850.8672013159444,0.0,2850.8672013159444,0.14177,0.2971956690824477,712.7168003289861
2023-07-10 02:00:00,2828.2230544453123,0.0,2828.2230544453123,0.14177,0.307442430169772,707.0557636113281
2023-07-10 02:15:00,2767.2677022493012,0.0,2767.2677022493012,0.14177,0.304267936169113,691.8169255623253
2023-07-10 02:30:00,2780.0632175214664,0.0,2780.0632175214664,0.14177,0.2922833308237757,695.0158043803666
2023-07-10 02:45:00,2847.84375924727,0.0,2847.84375924727,0.14177,0.2821194895375964,711.9609398118175
2023-07-10 03:00:00,2828.9579583484815,0.0,2828.9579583484815,0.14177,0.307357232153419,707.2394895871204
2023-07-10 03:15:00,2854.7901032470686,0.0,2854.7901032470686,0.14177,0.3129213930966258,713.6975258117672
2023-07-10 03:30:00,2833.284218916172,0.0,2833.284218916172,0.14177,0.310327880136174,708.321054729043
2023-07-10 03:45:00,2867.8304600684355,0.0,2867.8304600684355,0.14177,0.3188153889749585,716.9576150171089
2023-07-10 04:00:00,2860.078457055595,0.0,2860.078457055595,0.14177,0.3148774397445685,715.0196142638988
2023-07-10 04:15:00,2805.2435658502422,0.0,2805.2435658502422,0.14177,0.329031737697362,701.3108914625606
2023-07-10 04:30:00,2793.128083136021,0.0,2793.128083136021,0.14177,0.3295465781722426,698.2820207840052
2023-07-10 04:45:00,2799.031576338409,0.0,2799.031576338409,0.14177,0.3322300625523406,699.7578940846023
2023-07-10 05:00:00,2822.971964472046,0.0,2822.971964472046,0.14177,0.3345096519219772,705.7429911180114
2023-07-10 05:15:00,2775.1757263694335,0.0,2775.1757263694335,0.14177,0.3690373775620216,693.7939315923584
2023-07-10 05:30:00,2859.5678637471256,0.0,2859.5678637471256,0.14177,0.3910156089715628,714.8919659367814
2023-07-10 05:45:00,2855.2181612230675,0.0,2855.2181612230675,0.14177,0.4081144458375838,713.8045403057669
2023-07-10 06:00:00,2885.785881239013,0.0,2885.785881239013,0.14177,0.4503004099806706,721.4464703097533
2023-07-10 06:15:00,2981.6147752882785,0.0,2981.6147752882785,0.14177,0.4416387804081256,745.4036938220696
2023-07-10 06:30:00,2885.8913490912514,0.0,2885.8913490912514,0.14177,0.3699113804725637,721.4728372728129
2023-07-10 06:45:00,2853.6705539624945,0.0,2853.6705539624945,0.14177,0.2976832071369775,713.4176384906236
2023-07-10 07:00:00,3108.845311131543,0.0,3108.845311131543,0.14177,0.3113602370847508,777.2113277828857
2023-07-10 07:15:00,3077.5888941349585,0.0,3077.5888941349585,0.14177,0.2812510194354169,769.3972235337396
2023-07-10 07:30:00,3195.9727417784084,0.0,3195.9727417784084,0.14177,0.2684249209489356,798.9931854446021
2023-07-10 07:45:00,3381.76974808085,0.0,3381.76974808085,0.14177,0.2379639902660492,845.4424370202125
2023-07-10 08:00:00,3566.629295363696,0.0,3566.629295363696,0.14177,0.2691125441581687,891.657323840924
2023-07-10 08:15:00,3675.618992675615,0.0,3675.618992675615,0.14177,0.2671361020597917,918.9047481689038
2023-07-10 08:30:00,3717.9571011454223,0.0,3717.9571011454223,0.14177,0.2624003073986729,929.4892752863556
2023-07-10 08:45:00,4612.798632948952,0.0,4612.798632948952,0.14177,0.2597825296381476,1153.199658237238
2023-07-10 09:00:00,5885.676861657126,0.0,5885.676861657126,0.14177,0.2365279191177417,1471.4192154142816
2023-07-10 09:15:00,5885.096545146831,0.0,5885.096545146831,0.14177,0.227938686161809,1471.2741362867077
2023-07-10 09:30:00,5770.940387333477,0.0,5770.940387333477,0.14177,0.2327753732107143,1442.7350968333692
2023-07-10 09:45:00,5704.340697152326,0.0,5704.340697152326,0.14177,0.2158851196037446,1426.0851742880816
2023-07-10 10:00:00,5724.420462695811,0.0,5724.420462695811,0.14177,0.1949630398349534,1431.1051156739527
2023-07-10 10:15:00,6090.917542819077,0.0,6090.917542819077,0.14177,0.2059173856361912,1522.7293857047694
2023-07-10 10:30:00,6320.406086393108,0.0,6320.406086393108,0.14177,0.212511914609936,1580.101521598277
2023-07-10 10:45:00,6038.20256343136,0.0,6038.20256343136,0.14177,0.2266874759046716,1509.55064085784
2023-07-10 11:00:00,6042.482787639238,0.0,6042.482787639238,0.14177,0.2598947769398285,1510.6206969098096
2023-07-10 11:15:00,6199.210887599848,0.0,6199.210887599848,0.14177,0.273189789975567,1549.802721899962
2023-07-10 11:30:00,5956.547379978879,0.0,5956.547379978879,0.14177,0.2742685791198133,1489.1368449947197
2023-07-10 11:45:00,5771.095164153743,0.0,5771.095164153743,0.14177,0.2793706601593872,1442.7737910384358
2023-07-10 12:00:00,5492.823123335652,0.0,5492.823123335652,0.14177,0.2372813212708399,1373.205780833913
2023-07-10 12:15:00,5522.045626152179,0.0,5522.045626152179,0.14177,0.2641963003877113,1380.5114065380446
2023-07-10 12:30:00,5156.319528119404,0.0,5156.319528119404,0.14177,0.2795398990034162,1289.079882029851
2023-07-10 12:45:00,5347.763384349772,0.0,5347.763384349772,0.14177,0.2994083223195422,1336.940846087443
2023-07-10 13:00:00,5574.278112743903,0.0,5574.278112743903,0.14177,0.2398523052142341,1393.5695281859757
2023-07-10 13:15:00,5611.812782405007,0.0,5611.812782405007,0.14177,0.2425667805535913,1402.9531956012518
2023-07-10 13:30:00,5951.148244508072,0.0,5951.148244508072,0.14177,0.2718157730700701,1487.787061127018
2023-07-10 13:45:00,5657.985098488296,0.0,5657.985098488296,0.14177,0.2879600016017583,1414.496274622074
2023-07-10 14:00:00,5953.3459723353935,0.0,5953.3459723353935,0.17577,0.2344131568103026,1488.3364930838484
2023-07-10 14:15:00,5647.924920309203,0.0,5647.924920309203,0.17577,0.2603676693251633,1411.9812300773008
2023-07-10 14:30:00,5844.071576307245,0.0,5844.071576307245,0.17577,0.2869553086949939,1461.0178940768112
2023-07-10 14:45:00,5593.921395901486,0.0,5593.921395901486,0.17577,0.298845639325292,1398.4803489753715
2023-07-10 15:00:00,5738.9382061179695,0.0,5738.9382061179695,0.17577,0.2556919761509624,1434.7345515294924
2023-07-10 15:15:00,5769.606443225737,0.0,5769.606443225737,0.17577,0.2682723890164325,1442.4016108064343
2023-07-10 15:30:00,5677.311302731485,0.0,5677.311302731485,0.17577,0.3146759081040187,1419.3278256828712
2023-07-10 15:45:00,5414.141703294823,0.0,5414.141703294823,0.17577,0.3546856704533405,1353.5354258237057
2023-07-10 16:00:00,5317.518035673611,0.0,5317.518035673611,0.22451,0.3063402441169602,1329.3795089184027
2023-07-10 16:15:00,5556.997185158387,0.0,5556.997185158387,0.22451,0.3240040060302932,1389.2492962895967
2023-07-10 16:30:00,5433.800466584517,0.0,5433.800466584517,0.22451,0.2057770041847979,1358.4501166461293
2023-07-10 16:45:00,5632.3326427763695,0.0,5632.3326427763695,0.22451,0.1945972958886908,1408.0831606940924
2023-07-10 17:00:00,5285.828157861276,0.0,5285.828157861276,0.22451,0.0144885446697507,1321.457039465319
2023-07-10 17:15:00,5527.2476916466,0.0,5527.2476916466,0.22451,0.0230235344064432,1381.81192291165
2023-07-10 17:30:00,5165.876409943805,0.0,5165.876409943805,0.22451,0.0938975076926282,1291.4691024859512
