Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29389.529
Power Load Factor (%),25.18
Heat Load Factor (%),25.74
Power Consumption (MWh/year),17001.429
Net Power Consumption (MWh/year),11945.742
Gas Consumption (MWh/year),6081.801
Total Cost (M$/year),2.573
Operational Emissions (MtonCO2/year),5.52
LCOE (Energy) ($/kWh),0.065
CIE (Energy) (kgCO2/kWh),0.14
Gas Boiler Capacity (MW),7.686
Heat Pump Capacity (MW),4.123
Electric Boiler Capacity (MW),0.364
Battery Capacity (MWh),0.857
Thermal Storage Energy Capacity (MWh),61.901
Thermal Storage Power Capacity (MW),3.076
PV System Capacity (MW),0.0
Wind System Capacity (MW),1.453
Battery Cycles (cycles/year),514.181
