Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29330.332
Power Load Factor (%),44.09
Heat Load Factor (%),33.39
Power Consumption (MWh/year),15832.725
Net Power Consumption (MWh/year),-1113.947
Gas Consumption (MWh/year),9482.432
Total Cost (M$/year),2.565
Operational Emissions (MtonCO2/year),4.49
LCOE (Energy) ($/kWh),0.065
CIE (Energy) (kgCO2/kWh),0.114
Gas Boiler Capacity (MW),5.593
Heat Pump Capacity (MW),3.029
Electric Boiler Capacity (MW),0.505
Battery Capacity (MWh),1.442
Thermal Storage Energy Capacity (MWh),14.233
Thermal Storage Power Capacity (MW),0.9
PV System Capacity (MW),1.475
Wind System Capacity (MW),3.887
Battery Cycles (cycles/year),387.837
