,Heat Load,NaturalGasBoiler,Lithium Ion Battery,PVsystem,Windsystem,Total Heat Output
2023-01-01 16:30:00,11254.610522722305,11254.610522722305,0.0,0.0,0.0,11254.610522722305
2023-01-01 16:45:00,11343.714582505538,11343.714582505538,0.0,0.0,0.0,11343.714582505538
2023-01-01 17:00:00,11369.926163195265,11369.926163195265,0.0,0.0,0.0,11369.926163195265
2023-01-01 17:15:00,11313.022100180877,11313.022100180877,0.0,0.0,0.0,11313.022100180877
2023-01-01 17:30:00,11300.144909353141,11300.144909353141,0.0,0.0,0.0,11300.144909353141
2023-01-01 17:45:00,11273.117053926551,11273.117053926551,0.0,0.0,0.0,11273.117053926551
2023-01-01 18:00:00,11151.308857028122,11151.308857028122,0.0,0.0,0.0,11151.308857028122
2023-01-01 18:15:00,10966.879729547894,10966.879729547894,0.0,0.0,0.0,10966.879729547894
2023-01-01 18:30:00,10741.752333856359,10741.752333856359,0.0,0.0,0.0,10741.752333856359
2023-01-01 18:45:00,10485.65654544456,10485.65654544456,0.0,0.0,0.0,10485.65654544456
2023-01-01 19:00:00,10244.185809580984,10244.185809580984,0.0,0.0,0.0,10244.185809580984
2023-01-01 19:15:00,10028.59119648049,10028.59119648049,0.0,0.0,0.0,10028.59119648049
2023-01-01 19:30:00,9683.127380522365,9683.127380522365,0.0,0.0,0.0,9683.127380522365
2023-01-01 19:45:00,9332.705232415123,9332.705232415123,0.0,0.0,0.0,9332.705232415123
2023-01-01 20:00:00,9024.413429673197,9024.413429673197,0.0,0.0,0.0,9024.413429673197
2023-01-01 20:15:00,8682.83622528243,8682.83622528243,0.0,0.0,0.0,8682.83622528243
2023-01-01 20:30:00,8367.308940600647,8367.308940600647,0.0,0.0,0.0,8367.308940600647
2023-01-01 20:45:00,8085.349669544511,8085.34966954451,0.0,0.0,0.0,8085.34966954451
2023-01-01 21:00:00,7864.230635726332,7864.230635726333,0.0,0.0,0.0,7864.230635726333
2023-01-01 21:15:00,7635.897706331529,7635.897706331529,0.0,0.0,0.0,7635.897706331529
2023-01-01 21:30:00,7272.222837407902,7272.222837407902,0.0,0.0,0.0,7272.222837407902
2023-01-01 21:45:00,6871.06052919521,6871.06052919521,0.0,0.0,0.0,6871.06052919521
2023-01-01 22:00:00,6463.808634410964,6463.808634410964,0.0,0.0,0.0,6463.808634410964
2023-01-01 22:15:00,6025.5069953210295,6025.5069953210295,0.0,0.0,0.0,6025.5069953210295
2023-01-01 22:30:00,5593.281171460478,5593.281171460478,0.0,0.0,0.0,5593.281171460478
2023-01-01 22:45:00,5110.429587925933,5110.429587925933,0.0,0.0,0.0,5110.429587925933
2023-01-01 23:00:00,4699.950598708585,4699.950598708585,0.0,0.0,0.0,4699.950598708585
2023-01-01 23:15:00,4263.671962099761,4263.671962099761,0.0,0.0,0.0,4263.671962099761
2023-01-01 23:30:00,3829.0447177510678,3829.0447177510678,0.0,0.0,0.0,3829.0447177510678
2023-01-01 23:45:00,3424.662881554261,3424.662881554261,0.0,0.0,0.0,3424.662881554261
2023-01-02 00:00:00,5264.795695840434,5264.795695840434,0.0,0.0,0.0,5264.795695840434
2023-01-02 00:15:00,4709.545067334462,4709.545067334462,0.0,0.0,0.0,4709.545067334462
2023-01-02 00:30:00,4189.115525694889,4189.115525694889,0.0,0.0,0.0,4189.115525694889
2023-01-02 00:45:00,3704.67409039138,3704.67409039138,0.0,0.0,0.0,3704.67409039138
2023-01-02 01:00:00,3248.638054956827,3248.638054956827,0.0,0.0,0.0,3248.638054956827
2023-01-02 01:15:00,2852.960165429569,2852.960165429569,0.0,0.0,0.0,2852.960165429569
2023-01-02 01:30:00,2860.0590131520103,2860.0590131520103,0.0,0.0,0.0,2860.0590131520103
2023-01-02 01:45:00,2850.968079099755,2850.968079099755,0.0,0.0,0.0,2850.968079099755
2023-01-02 02:00:00,2845.6765797490757,2845.6765797490757,0.0,0.0,0.0,2845.6765797490757
2023-01-02 02:15:00,2855.5506855674134,2855.5506855674134,0.0,0.0,0.0,2855.5506855674134
2023-01-02 02:30:00,2865.3035364810326,2865.3035364810326,0.0,0.0,0.0,2865.3035364810326
2023-01-02 02:45:00,2864.0012904069076,2864.0012904069076,0.0,0.0,0.0,2864.0012904069076
2023-01-02 03:00:00,2806.4776389767003,2806.4776389767003,0.0,0.0,0.0,2806.4776389767003
2023-01-02 03:15:00,2808.5656753475655,2808.5656753475655,0.0,0.0,0.0,2808.5656753475655
2023-01-02 03:30:00,2823.4798153176944,2823.4798153176944,0.0,0.0,0.0,2823.4798153176944
2023-01-02 03:45:00,2826.754729936083,2826.754729936083,0.0,0.0,0.0,2826.754729936083
2023-01-02 04:00:00,2798.2685438089266,2798.2685438089266,0.0,0.0,0.0,2798.2685438089266
2023-01-02 04:15:00,2835.096263072692,2835.096263072692,0.0,0.0,0.0,2835.096263072692
2023-01-02 04:30:00,2878.6210650423336,2878.6210650423336,0.0,0.0,0.0,2878.6210650423336
2023-01-02 04:45:00,2957.287386116171,2957.287386116171,0.0,0.0,0.0,2957.287386116171
2023-01-02 05:00:00,3042.247309916249,3042.247309916249,0.0,0.0,0.0,3042.247309916249
2023-01-02 05:15:00,3087.4447141115456,3087.4447141115456,0.0,0.0,0.0,3087.4447141115456
2023-01-02 05:30:00,3141.7448093244984,3141.7448093244984,0.0,0.0,0.0,3141.7448093244984
2023-01-02 05:45:00,3251.3519536727267,3251.3519536727267,0.0,0.0,0.0,3251.3519536727267
2023-01-02 06:00:00,4252.892820886493,4252.892820886493,0.0,0.0,0.0,4252.892820886493
2023-01-02 06:15:00,5370.771318382067,5370.771318382067,0.0,0.0,0.0,5370.771318382067
2023-01-02 06:30:00,6431.699720781812,6431.699720781812,0.0,0.0,0.0,6431.699720781812
2023-01-02 06:45:00,7669.043589365602,7669.043589365602,0.0,0.0,0.0,7669.043589365602
2023-01-02 07:00:00,9158.196608812435,9158.196608812435,0.0,0.0,0.0,9158.196608812435
2023-01-02 07:15:00,10405.105360037855,10405.105360037855,0.0,0.0,0.0,10405.105360037855
2023-01-02 07:30:00,11812.526610958452,11812.526610958452,0.0,0.0,0.0,11812.526610958452
2023-01-02 07:45:00,13508.53411494519,13508.53411494519,0.0,0.0,0.0,13508.53411494519
2023-01-02 08:00:00,15518.439001348655,15518.439001348655,0.0,0.0,0.0,15518.439001348655
2023-01-02 08:15:00,17526.225985234516,17526.225985234516,0.0,0.0,0.0,17526.225985234516
2023-01-02 08:30:00,19386.605228962977,19386.605228962977,0.0,0.0,0.0,19386.605228962977
2023-01-02 08:45:00,20352.116433889896,20352.116433889896,0.0,0.0,0.0,20352.116433889896
2023-01-02 09:00:00,21187.5162881144,21187.5162881144,0.0,0.0,0.0,21187.5162881144
2023-01-02 09:15:00,22086.53516049631,22086.53516049631,0.0,0.0,0.0,22086.53516049631
2023-01-02 09:30:00,22796.05917032736,22796.05917032736,0.0,0.0,0.0,22796.05917032736
2023-01-02 09:45:00,23255.753233897805,23255.753233897805,0.0,0.0,0.0,23255.753233897805
2023-01-02 10:00:00,24013.507111029023,24013.507111029023,0.0,0.0,0.0,24013.507111029023
2023-01-02 10:15:00,24572.321434709756,24572.321434709756,0.0,0.0,0.0,24572.321434709756
2023-01-02 10:30:00,24682.256345954702,24682.256345954702,0.0,0.0,0.0,24682.256345954702
2023-01-02 10:45:00,24537.34321041288,24537.34321041288,0.0,0.0,0.0,24537.34321041288
2023-01-02 11:00:00,24352.661556744853,24352.661556744853,0.0,0.0,0.0,24352.661556744853
2023-01-02 11:15:00,24271.76696452375,24271.76696452375,0.0,0.0,0.0,24271.76696452375
2023-01-02 11:30:00,24211.304774788656,24211.304774788656,0.0,0.0,0.0,24211.304774788656
2023-01-02 11:45:00,24105.691268040795,24105.691268040795,0.0,0.0,0.0,24105.691268040795
2023-01-02 12:00:00,23994.805998572967,23994.805998572967,0.0,0.0,0.0,23994.805998572967
2023-01-02 12:15:00,23961.843066292462,23961.843066292462,0.0,0.0,0.0,23961.843066292462
2023-01-02 12:30:00,23781.00613660324,23781.00613660324,0.0,0.0,0.0,23781.00613660324
2023-01-02 12:45:00,23523.09270493259,23523.09270493259,0.0,0.0,0.0,23523.09270493259
2023-01-02 13:00:00,23134.146489517247,23134.146489517247,0.0,0.0,0.0,23134.146489517247
2023-01-02 13:15:00,23130.68883098372,23130.68883098372,0.0,0.0,0.0,23130.68883098372
2023-01-02 13:30:00,23129.25608166688,23129.25608166688,0.0,0.0,0.0,23129.25608166688
2023-01-02 13:45:00,23123.24990666401,23123.24990666401,0.0,0.0,0.0,23123.24990666401
2023-01-02 14:00:00,23202.066363528953,23202.066363528953,0.0,0.0,0.0,23202.066363528953
2023-01-02 14:15:00,23169.45660161413,23169.45660161413,0.0,0.0,0.0,23169.45660161413
2023-01-02 14:30:00,23008.43402827584,23008.43402827584,0.0,0.0,0.0,23008.43402827584
2023-01-02 14:45:00,22997.731495268825,22997.731495268825,0.0,0.0,0.0,22997.731495268825
2023-01-02 15:00:00,23209.094636552414,23209.094636552414,0.0,0.0,0.0,23209.094636552414
2023-01-02 15:15:00,23383.74135956239,23383.74135956239,0.0,0.0,0.0,23383.74135956239
2023-01-02 15:30:00,23571.48861945294,23571.48861945294,0.0,0.0,0.0,23571.48861945294
2023-01-02 15:45:00,23930.29512172158,23930.29512172158,0.0,0.0,0.0,23930.29512172158
2023-01-02 16:00:00,24046.22237786824,24046.22237786824,0.0,0.0,0.0,24046.22237786824
2023-01-02 16:15:00,24124.19357155588,24124.19357155588,0.0,0.0,0.0,24124.19357155588
2023-01-02 16:30:00,24258.129163641635,24258.129163641635,0.0,0.0,0.0,24258.129163641635
2023-01-02 16:45:00,24265.032719491828,24265.032719491828,0.0,0.0,0.0,24265.032719491828
2023-01-02 17:00:00,24239.112541906106,24239.112541906106,0.0,0.0,0.0,24239.112541906106
2023-01-02 17:15:00,24484.564652478777,24484.564652478777,0.0,0.0,0.0,24484.564652478777
2023-01-02 17:30:00,24506.17114344809,24506.17114344809,0.0,0.0,0.0,24506.17114344809
2023-01-02 17:45:00,24213.08572346445,24213.08572346445,0.0,0.0,0.0,24213.08572346445
2023-01-02 18:00:00,24092.69087993675,24092.69087993675,0.0,0.0,0.0,24092.69087993675
2023-01-02 18:15:00,23824.580615193412,23824.580615193412,0.0,0.0,0.0,23824.580615193412
2023-01-02 18:30:00,23033.8058707511,23033.8058707511,0.0,0.0,0.0,23033.8058707511
2023-01-02 18:45:00,21846.391188694957,21846.391188694957,0.0,0.0,0.0,21846.391188694957
2023-01-02 19:00:00,20663.7130310728,20663.7130310728,0.0,0.0,0.0,20663.7130310728
2023-01-02 19:15:00,19428.74731115922,19428.74731115922,0.0,0.0,0.0,19428.74731115922
2023-01-02 19:30:00,18286.618784240483,18286.618784240483,0.0,0.0,0.0,18286.618784240483
2023-01-02 19:45:00,17265.728666889914,17265.728666889914,0.0,0.0,0.0,17265.728666889914
2023-01-02 20:00:00,16135.993962242488,16135.99396224249,0.0,0.0,0.0,16135.99396224249
2023-01-02 20:15:00,15049.547537927545,15049.547537927545,0.0,0.0,0.0,15049.547537927545
2023-01-02 20:30:00,13943.943755175134,13943.943755175134,0.0,0.0,0.0,13943.943755175134
2023-01-02 20:45:00,12776.487485065718,12776.487485065718,0.0,0.0,0.0,12776.487485065718
2023-01-02 21:00:00,11739.975877167923,11739.975877167923,0.0,0.0,0.0,11739.975877167923
2023-01-02 21:15:00,11137.710366300278,11137.710366300278,0.0,0.0,0.0,11137.710366300278
2023-01-02 21:30:00,10938.22916660034,10938.22916660034,0.0,0.0,0.0,10938.22916660034
2023-01-02 21:45:00,10846.004042415741,10846.004042415741,0.0,0.0,0.0,10846.004042415741
2023-01-02 22:00:00,10766.82768358885,10766.82768358885,0.0,0.0,0.0,10766.82768358885
2023-01-02 22:15:00,10663.917205698759,10663.917205698759,0.0,0.0,0.0,10663.917205698759
2023-01-02 22:30:00,10551.774600248116,10551.774600248116,0.0,0.0,0.0,10551.774600248116
2023-01-02 22:45:00,10115.653487887583,10115.653487887583,0.0,0.0,0.0,10115.653487887583
2023-01-02 23:00:00,9714.07895908627,9714.07895908627,0.0,0.0,0.0,9714.07895908627
2023-01-02 23:15:00,9342.481353038736,9342.481353038736,0.0,0.0,0.0,9342.481353038736
2023-01-02 23:30:00,9033.168190164162,9033.168190164162,0.0,0.0,0.0,9033.168190164162
2023-01-02 23:45:00,8695.185049662978,8695.185049662978,0.0,0.0,0.0,8695.185049662978
2023-01-03 00:00:00,14391.642641651059,14391.642641651059,0.0,0.0,0.0,14391.642641651059
2023-01-03 00:15:00,13886.616906269219,13886.616906269219,0.0,0.0,0.0,13886.616906269219
2023-01-03 00:30:00,12995.32857605139,12995.32857605139,0.0,0.0,0.0,12995.32857605139
2023-01-03 00:45:00,12120.314868312531,12120.314868312531,0.0,0.0,0.0,12120.314868312531
2023-01-03 01:00:00,11213.147006562756,11213.147006562756,0.0,0.0,0.0,11213.147006562756
2023-01-03 01:15:00,10265.906411574475,10265.906411574475,0.0,0.0,0.0,10265.906411574475
2023-01-03 01:30:00,10222.565469585528,10222.565469585528,0.0,0.0,0.0,10222.565469585528
2023-01-03 01:45:00,10168.327098658387,10168.327098658387,0.0,0.0,0.0,10168.327098658387
2023-01-03 02:00:00,10129.77979174363,10129.77979174363,0.0,0.0,0.0,10129.77979174363
2023-01-03 02:15:00,10068.127622901375,10068.127622901375,0.0,0.0,0.0,10068.127622901375
2023-01-03 02:30:00,10045.082678741976,10045.082678741976,0.0,0.0,0.0,10045.082678741976
2023-01-03 02:45:00,10058.025665444671,10058.025665444671,0.0,0.0,0.0,10058.025665444671
2023-01-03 03:00:00,10041.542761863058,10041.542761863058,0.0,0.0,0.0,10041.542761863058
2023-01-03 03:15:00,10016.213093422692,10016.213093422692,0.0,0.0,0.0,10016.213093422692
2023-01-03 03:30:00,10000.965681111515,10000.965681111515,0.0,0.0,0.0,10000.965681111515
2023-01-03 03:45:00,9964.564540209674,9964.564540209674,0.0,0.0,0.0,9964.564540209674
2023-01-03 04:00:00,9910.442652149008,9910.442652149008,0.0,0.0,0.0,9910.442652149008
2023-01-03 04:15:00,9889.041481209426,9889.041481209426,0.0,0.0,0.0,9889.041481209426
2023-01-03 04:30:00,9907.449615678863,9907.449615678863,0.0,0.0,0.0,9907.449615678863
2023-01-03 04:45:00,9919.926044605638,9919.926044605638,0.0,0.0,0.0,9919.926044605638
2023-01-03 05:00:00,9921.49715790591,9921.49715790591,0.0,0.0,0.0,9921.49715790591
2023-01-03 05:15:00,9906.507660761723,9906.507660761723,0.0,0.0,0.0,9906.507660761723
2023-01-03 05:30:00,9903.627900803156,9903.627900803156,0.0,0.0,0.0,9903.627900803156
2023-01-03 05:45:00,9966.019792552115,9966.019792552115,0.0,0.0,0.0,9966.019792552115
2023-01-03 06:00:00,10113.924248280084,10113.924248280084,0.0,0.0,0.0,10113.924248280084
2023-01-03 06:15:00,11305.636524625046,11305.636524625046,0.0,0.0,0.0,11305.636524625046
2023-01-03 06:30:00,12332.723449312336,12332.723449312336,0.0,0.0,0.0,12332.723449312336
2023-01-03 06:45:00,13412.502937007417,13412.502937007417,0.0,0.0,0.0,13412.502937007417
2023-01-03 07:00:00,14483.00551225221,14483.00551225221,0.0,0.0,0.0,14483.00551225221
