Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29342.562
Power Load Factor (%),37.64
Heat Load Factor (%),38.35
Power Consumption (MWh/year),10085.155
Net Power Consumption (MWh/year),-1385.372
Gas Consumption (MWh/year),30886.908
Total Cost (M$/year),2.88
Operational Emissions (MtonCO2/year),8.34
LCOE (Energy) ($/kWh),0.073
CIE (Energy) (kgCO2/kWh),0.212
Gas Boiler Capacity (MW),8.734
Heat Pump Capacity (MW),0.0
Electric Boiler Capacity (MW),0.0
Battery Capacity (MWh),1.692
Thermal Storage Energy Capacity (MWh),0.0
Thermal Storage Power Capacity (MW),0.0
PV System Capacity (MW),2.043
Wind System Capacity (MW),1.933
Battery Cycles (cycles/year),269.645
