Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29307.196
Power Load Factor (%),51.64
Heat Load Factor (%),52.81
Power Consumption (MWh/year),18216.21
Net Power Consumption (MWh/year),-1771.475
Gas Consumption (MWh/year),888.055
Total Cost (M$/year),2.211
Operational Emissions (MtonCO2/year),1.65
LCOE (Energy) ($/kWh),0.056
CIE (Energy) (kgCO2/kWh),0.042
Gas Boiler Capacity (MW),0.615
Heat Pump Capacity (MW),4.115
Electric Boiler Capacity (MW),0.29
Battery Capacity (MWh),1.582
Thermal Storage Energy Capacity (MWh),29.816
Thermal Storage Power Capacity (MW),1.548
PV System Capacity (MW),3.455
Wind System Capacity (MW),3.439
Battery Cycles (cycles/year),738.93
