Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29389.529
Power Load Factor (%),25.18
Heat Load Factor (%),25.74
Power Consumption (MWh/year),10432.053
Net Power Consumption (MWh/year),-1525.58
Gas Consumption (MWh/year),30936.346
Total Cost (M$/year),3.219
Operational Emissions (MtonCO2/year),8.2
LCOE (Energy) ($/kWh),0.082
CIE (Energy) (kgCO2/kWh),0.208
Gas Boiler Capacity (MW),13.034
Heat Pump Capacity (MW),0.0
Electric Boiler Capacity (MW),0.0
Battery Capacity (MWh),3.892
Thermal Storage Energy Capacity (MWh),0.0
Thermal Storage Power Capacity (MW),0.0
PV System Capacity (MW),4.012
Wind System Capacity (MW),0.758
Battery Cycles (cycles/year),594.943
