,Heat Load,NaturalGasBoiler,Lithium Ion Battery,PVsystem,Windsystem,Total Heat Output
2023-01-01 00:00:00,297.89976670027824,297.89976670027824,0.0,0.0,0.0,297.89976670027824
2023-01-01 00:15:00,330.18725452457033,330.18725452457033,0.0,0.0,0.0,330.18725452457033
2023-01-01 00:30:00,360.2785012807428,360.2785012807428,0.0,0.0,0.0,360.2785012807428
2023-01-01 00:45:00,387.81195338241986,387.81195338241986,0.0,0.0,0.0,387.81195338241986
2023-01-01 01:00:00,418.26521688983553,418.26521688983553,0.0,0.0,0.0,418.26521688983553
2023-01-01 01:15:00,452.3868375895414,452.3868375895414,0.0,0.0,0.0,452.3868375895414
2023-01-01 01:30:00,445.0665886354726,445.0665886354726,0.0,0.0,0.0,445.0665886354726
2023-01-01 01:45:00,439.2105003934837,439.2105003934837,0.0,0.0,0.0,439.2105003934837
2023-01-01 02:00:00,431.8902514394149,431.8902514394149,0.0,0.0,0.0,431.8902514394149
2023-01-01 02:15:00,424.57000248534627,424.57000248534627,0.0,0.0,0.0,424.57000248534627
2023-01-01 02:30:00,417.2503081376077,417.2503081376077,0.0,0.0,0.0,417.2503081376077
2023-01-01 02:45:00,417.2503081376077,417.2503081376077,0.0,0.0,0.0,417.2503081376077
2023-01-01 03:00:00,415.054067069488,415.054067069488,0.0,0.0,0.0,415.054067069488
2023-01-01 03:15:00,414.3219867134481,414.3219867134481,0.0,0.0,0.0,414.3219867134481
2023-01-01 03:30:00,420.1780749554371,420.1780749554371,0.0,0.0,0.0,420.1780749554371
2023-01-01 03:45:00,419.4459945993971,419.4459945993971,0.0,0.0,0.0,419.4459945993971
2023-01-01 04:00:00,415.0535124631577,415.0535124631577,0.0,0.0,0.0,415.0535124631577
2023-01-01 04:15:00,415.7855928191976,415.7855928191976,0.0,0.0,0.0,415.7855928191976
2023-01-01 04:30:00,414.32143210711774,414.32143210711774,0.0,0.0,0.0,414.32143210711774
2023-01-01 04:45:00,424.5700024853461,424.5700024853461,0.0,0.0,0.0,424.5700024853461
2023-01-01 05:00:00,423.83792212930626,423.83792212930626,0.0,0.0,0.0,423.83792212930626
2023-01-01 05:15:00,426.0336085910956,426.0336085910956,0.0,0.0,0.0,426.0336085910956
2023-01-01 05:30:00,430.42609072733507,430.42609072733507,0.0,0.0,0.0,430.42609072733507
2023-01-01 05:45:00,431.8902514394149,431.8902514394149,0.0,0.0,0.0,431.8902514394149
2023-01-01 06:00:00,433.3544121514947,433.3544121514947,0.0,0.0,0.0,433.3544121514947
