Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29307.196
Power Load Factor (%),51.64
Heat Load Factor (%),52.81
Power Consumption (MWh/year),10000.0
Net Power Consumption (MWh/year),10000.0
Gas Consumption (MWh/year),30849.68
Total Cost (M$/year),3.442
Operational Emissions (MtonCO2/year),10.71
LCOE (Energy) ($/kWh),0.088
CIE (Energy) (kgCO2/kWh),0.272
Gas Boiler Capacity (MW),6.335
Heat Pump Capacity (MW),0.0
Electric Boiler Capacity (MW),0.0
Battery Capacity (MWh),0.0
Thermal Storage Energy Capacity (MWh),0.0
Thermal Storage Power Capacity (MW),0.0
PV System Capacity (MW),0.0
Wind System Capacity (MW),0.0
Battery Cycles (cycles/year),0.0
