Time,Start Time,End Time,Weather
2015-01-01,2015-01-01 23:00:00,2015-01-01 23:00:00,01Low temperature
2015-01-02,2015-01-02 04:30:00,2015-01-02 09:00:00,01Low temperature
2015-01-03,2015-01-03 00:30:00,2015-01-03 06:30:00,01Low temperature
2015-01-08,2015-01-08 07:15:00,2015-01-08 09:00:00,01Low temperature
2015-01-09,2015-01-09 01:00:00,2015-01-09 04:15:00,01Low temperature
2015-01-12,2015-01-12 12:45:00,2015-01-12 23:45:00,01Low temperature
2015-01-13,2015-01-13 00:00:00,2015-01-13 23:45:00,01Low temperature
2015-01-14,2015-01-14 00:00:00,2015-01-14 23:45:00,01Low temperature
2015-01-15,2015-01-15 00:00:00,2015-01-15 10:00:00,01Low temperature
2015-01-18,2015-01-18 06:45:00,2015-01-18 08:15:00,01Low temperature
2015-01-20,2015-01-20 03:30:00,2015-01-20 06:15:00,01Low temperature
2015-01-21,2015-01-21 04:30:00,2015-01-21 06:00:00,01Low temperature
2015-01-23,2015-01-23 04:30:00,2015-01-23 05:45:00,01Low temperature
2015-02-01,2015-02-01 04:45:00,2015-02-01 05:15:00,01Low temperature
2015-02-05,2015-02-05 01:30:00,2015-02-05 23:45:00,01Low temperature
2015-02-06,2015-02-06 00:00:00,2015-02-06 10:15:00,01Low temperature
2015-02-09,2015-02-09 04:30:00,2015-02-09 23:45:00,01Low temperature
2015-02-10,2015-02-10 00:00:00,2015-02-10 08:45:00,01Low temperature
2015-02-11,2015-02-11 01:15:00,2015-02-11 08:00:00,01Low temperature
2015-02-13,2015-02-13 04:30:00,2015-02-13 05:00:00,01Low temperature
2015-12-17,2015-12-17 03:00:00,2015-12-17 23:45:00,01Low temperature
2015-12-18,2015-12-18 00:00:00,2015-12-18 23:45:00,01Low temperature
2015-12-19,2015-12-19 00:00:00,2015-12-19 08:30:00,01Low temperature
2016-01-13,2016-01-13 06:30:00,2016-01-13 09:15:00,01Low temperature
2016-01-18,2016-01-18 03:45:00,2016-01-18 09:15:00,01Low temperature
2016-01-22,2016-01-22 09:45:00,2016-01-22 23:45:00,01Low temperature
2016-01-23,2016-01-23 00:00:00,2016-01-23 23:45:00,01Low temperature
2016-01-24,2016-01-24 00:00:00,2016-01-24 23:45:00,01Low temperature
2016-01-25,2016-01-25 00:00:00,2016-01-25 23:45:00,01Low temperature
2016-01-26,2016-01-26 00:00:00,2016-01-26 23:45:00,01Low temperature
2016-01-27,2016-01-27 00:00:00,2016-01-27 11:45:00,01Low temperature
2016-02-01,2016-02-01 06:15:00,2016-02-01 23:45:00,01Low temperature
2016-02-02,2016-02-02 00:00:00,2016-02-02 23:45:00,01Low temperature
2016-02-03,2016-02-03 00:00:00,2016-02-03 23:45:00,01Low temperature
2016-02-04,2016-02-04 00:00:00,2016-02-04 09:45:00,01Low temperature
2016-02-05,2016-02-05 04:45:00,2016-02-05 23:45:00,01Low temperature
2016-02-06,2016-02-06 00:00:00,2016-02-06 23:45:00,01Low temperature
