,Power Load,NaturalGasBoiler,Total Power Consumption,Marginal Power Price,Marginal Power Emissions,Grid Power
2023-01-02 07:30:00,432.73530497079264,0.0,432.73530497079264,0.14186,0.66375,108.18382624269816
2023-01-02 07:45:00,451.9675547233658,0.0,451.9675547233658,0.14186,0.66375,112.99188868084146
2023-01-02 08:00:00,548.1320319988639,0.0,548.1320319988639,0.14186,0.6039394193949287,137.03300799971598
2023-01-02 08:15:00,692.3771336557948,0.0,692.3771336557948,0.14186,0.4720294309195393,173.0942834139487
2023-01-02 08:30:00,682.7610087795082,0.0,682.7610087795082,0.14186,0.4293229639156576,170.69025219487705
2023-01-02 08:45:00,1096.2624497414115,0.0,1096.2624497414115,0.14186,0.4020091364591837,274.0656124353529
2023-01-02 09:00:00,1471.3010054544848,0.0,1471.3010054544848,0.14186,0.4595757786852253,367.8252513636212
2023-01-02 09:15:00,1865.570196663815,0.0,1865.570196663815,0.14186,0.4630172084217077,466.39254916595377
2023-01-02 09:30:00,1788.6395833972065,0.0,1788.6395833972065,0.14186,0.4474704299400933,447.1598958493016
2023-01-02 09:45:00,1596.3122431025265,0.0,1596.3122431025265,0.14186,0.4228345152979737,399.0780607756316
2023-01-02 10:00:00,1538.6154938448071,0.0,1538.6154938448071,0.14186,0.5157059685389787,384.6538734612018
2023-01-02 10:15:00,1490.5332552070583,0.0,1490.5332552070583,0.14186,0.583243202428473,372.6333138017646
2023-01-02 10:30:00,1548.2316187210936,0.0,1548.2316187210936,0.14186,0.6119069517004446,387.0579046802734
2023-01-02 10:45:00,1538.6154938448071,0.0,1538.6154938448071,0.14186,0.6470361442601503,384.6538734612018
2023-01-02 11:00:00,1615.5461071114157,0.0,1615.5461071114157,0.14186,0.5726163517614183,403.88652677785393
2023-01-02 11:15:00,1634.778356863989,0.0,1634.778356863989,0.14186,0.516534386064983,408.69458921599727
2023-01-02 11:30:00,1692.4767203780248,0.0,1692.4767203780248,0.14186,0.5179473065957997,423.1191800945062
2023-01-02 11:45:00,1471.3010054544848,0.0,1471.3010054544848,0.14186,0.5336369416218739,367.8252513636212
2023-01-02 12:00:00,1836.7218220349553,0.0,1836.7218220349553,0.14186,0.5663306208246507,459.1804555087388
