Start Time,Start Time,End Time,Weather
2016-08-02,2016-08-02 01:00:00,2016-08-02 03:00:00,11Strong Typhoon
2016-10-21,2016-10-21 00:00:00,2016-10-21 13:00:00,11Strong Typhoon
2017-08-23,2017-08-23 06:00:00,2017-08-23 13:00:00,11Strong Typhoon
2018-09-16,2018-09-16 04:00:00,2018-09-16 19:00:00,11Strong Typhoon
