Time,Start Time,End Time,Weather
2015-09-08,2015-09-08 13:00:00,2015-09-08 13:00:00,02High temperature
2015-09-20,2015-09-20 10:00:00,2015-09-20 15:00:00,02High temperature
2015-09-23,2015-09-23 09:00:00,2015-09-23 09:00:00,02High temperature
2015-09-24,2015-09-24 11:30:00,2015-09-24 14:00:00,02High temperature
2015-09-25,2015-09-25 11:00:00,2015-09-25 17:00:00,02High temperature
2015-09-26,2015-09-26 11:45:00,2015-09-26 13:00:00,02High temperature
2015-09-27,2015-09-27 14:00:00,2015-09-27 14:00:00,02High temperature
2015-09-28,2015-09-28 13:30:00,2015-09-28 17:00:00,02High temperature
2015-09-29,2015-09-29 10:00:00,2015-09-29 15:00:00,02High temperature
2015-09-30,2015-09-30 09:30:00,2015-09-30 17:00:00,02High temperature
2015-10-01,2015-10-01 13:00:00,2015-10-01 15:30:00,02High temperature
2015-10-22,2015-10-22 14:00:00,2015-10-22 14:00:00,02High temperature
2016-05-07,2016-05-07 15:30:00,2016-05-07 15:30:00,02High temperature
2016-05-09,2016-05-09 09:30:00,2016-05-09 09:30:00,02High temperature
2016-05-29,2016-05-29 10:00:00,2016-05-29 15:30:00,02High temperature
2016-05-30,2016-05-30 12:30:00,2016-05-30 12:30:00,02High temperature
2016-05-31,2016-05-31 11:15:00,2016-05-31 17:30:00,02High temperature
2016-06-01,2016-06-01 12:00:00,2016-06-01 16:00:00,02High temperature
2016-06-02,2016-06-02 10:00:00,2016-06-02 16:30:00,02High temperature
2016-06-03,2016-06-03 12:00:00,2016-06-03 15:30:00,02High temperature
2016-06-04,2016-06-04 07:30:00,2016-06-04 10:00:00,02High temperature
2016-06-13,2016-06-13 09:00:00,2016-06-13 15:00:00,02High temperature
2016-06-14,2016-06-14 14:30:00,2016-06-14 18:30:00,02High temperature
2016-06-15,2016-06-15 10:45:00,2016-06-15 18:30:00,02High temperature
2016-06-18,2016-06-18 14:00:00,2016-06-18 17:30:00,02High temperature
2016-06-19,2016-06-19 09:15:00,2016-06-19 14:15:00,02High temperature
2016-06-20,2016-06-20 10:00:00,2016-06-20 18:00:00,02High temperature
2016-06-21,2016-06-21 09:00:00,2016-06-21 18:30:00,02High temperature
2016-06-22,2016-06-22 09:30:00,2016-06-22 15:30:00,02High temperature
2016-06-23,2016-06-23 12:30:00,2016-06-23 19:30:00,02High temperature
2016-06-24,2016-06-24 00:30:00,2016-06-24 20:15:00,02High temperature
2016-06-25,2016-06-25 06:30:00,2016-06-25 18:00:00,02High temperature
2016-06-26,2016-06-26 08:00:00,2016-06-26 22:30:00,02High temperature
2016-06-27,2016-06-27 07:30:00,2016-06-27 18:00:00,02High temperature
2016-06-29,2016-06-29 10:45:00,2016-06-29 14:00:00,02High temperature
2016-06-30,2016-06-30 08:00:00,2016-06-30 13:30:00,02High temperature
2016-07-01,2016-07-01 07:30:00,2016-07-01 16:00:00,02High temperature
2016-07-02,2016-07-02 09:30:00,2016-07-02 16:00:00,02High temperature
2016-07-03,2016-07-03 08:30:00,2016-07-03 16:00:00,02High temperature
2016-07-04,2016-07-04 11:45:00,2016-07-04 13:30:00,02High temperature
2016-07-05,2016-07-05 08:30:00,2016-07-05 13:00:00,02High temperature
2016-07-07,2016-07-07 12:00:00,2016-07-07 17:00:00,02High temperature
2016-07-08,2016-07-08 09:00:00,2016-07-08 22:15:00,02High temperature
2016-07-09,2016-07-09 00:30:00,2016-07-09 22:45:00,02High temperature
2016-07-10,2016-07-10 01:00:00,2016-07-10 19:30:00,02High temperature
2016-07-11,2016-07-11 13:30:00,2016-07-11 15:15:00,02High temperature
2016-07-15,2016-07-15 08:30:00,2016-07-15 21:30:00,02High temperature
2016-07-16,2016-07-16 10:00:00,2016-07-16 12:00:00,02High temperature
2016-07-17,2016-07-17 09:15:00,2016-07-17 23:00:00,02High temperature
2016-07-18,2016-07-18 11:30:00,2016-07-18 17:30:00,02High temperature
2016-07-19,2016-07-19 09:30:00,2016-07-19 14:00:00,02High temperature
2016-07-20,2016-07-20 10:45:00,2016-07-20 16:45:00,02High temperature
2016-07-21,2016-07-21 12:30:00,2016-07-21 17:00:00,02High temperature
2016-07-22,2016-07-22 10:00:00,2016-07-22 19:30:00,02High temperature
2016-07-23,2016-07-23 10:00:00,2016-07-23 18:30:00,02High temperature
2016-07-24,2016-07-24 08:30:00,2016-07-24 16:30:00,02High temperature
2016-07-25,2016-07-25 09:30:00,2016-07-25 17:30:00,02High temperature
2016-07-26,2016-07-26 09:00:00,2016-07-26 16:00:00,02High temperature
2016-07-27,2016-07-27 08:30:00,2016-07-27 18:00:00,02High temperature
2016-07-28,2016-07-28 10:30:00,2016-07-28 20:00:00,02High temperature
2016-07-29,2016-07-29 09:30:00,2016-07-29 20:00:00,02High temperature
2016-07-30,2016-07-30 09:00:00,2016-07-30 19:00:00,02High temperature
2016-07-31,2016-07-31 10:00:00,2016-07-31 15:00:00,02High temperature
2016-08-01,2016-08-01 10:15:00,2016-08-01 17:45:00,02High temperature
2016-08-05,2016-08-05 14:00:00,2016-08-05 16:00:00,02High temperature
2016-08-06,2016-08-06 09:30:00,2016-08-06 16:45:00,02High temperature
2016-08-07,2016-08-07 08:30:00,2016-08-07 17:30:00,02High temperature
2016-08-08,2016-08-08 08:45:00,2016-08-08 18:30:00,02High temperature
2016-08-09,2016-08-09 08:15:00,2016-08-09 11:15:00,02High temperature
2016-08-13,2016-08-13 09:00:00,2016-08-13 09:00:00,02High temperature
2016-08-20,2016-08-20 18:30:00,2016-08-20 18:30:00,02High temperature
2016-08-22,2016-08-22 11:00:00,2016-08-22 11:00:00,02High temperature
2016-08-23,2016-08-23 09:00:00,2016-08-23 17:45:00,02High temperature
2016-08-24,2016-08-24 10:00:00,2016-08-24 16:30:00,02High temperature
2016-08-25,2016-08-25 10:30:00,2016-08-25 16:30:00,02High temperature
2016-08-26,2016-08-26 12:00:00,2016-08-26 18:00:00,02High temperature
2016-08-27,2016-08-27 11:45:00,2016-08-27 18:30:00,02High temperature
2016-08-28,2016-08-28 15:15:00,2016-08-28 15:45:00,02High temperature
2016-09-03,2016-09-03 12:00:00,2016-09-03 14:30:00,02High temperature
2016-09-11,2016-09-11 13:30:00,2016-09-11 15:00:00,02High temperature
2016-09-12,2016-09-12 17:00:00,2016-09-12 17:00:00,02High temperature
2016-09-13,2016-09-13 13:00:00,2016-09-13 13:00:00,02High temperature
2016-09-14,2016-09-14 11:00:00,2016-09-14 20:00:00,02High temperature
2016-09-15,2016-09-15 08:00:00,2016-09-15 20:45:00,02High temperature
2016-09-16,2016-09-16 11:30:00,2016-09-16 16:15:00,02High temperature
2016-09-17,2016-09-17 09:00:00,2016-09-17 18:00:00,02High temperature
2016-09-18,2016-09-18 14:00:00,2016-09-18 17:30:00,02High temperature
2016-09-19,2016-09-19 13:30:00,2016-09-19 15:30:00,02High temperature
2016-09-26,2016-09-26 11:30:00,2016-09-26 11:30:00,02High temperature
2016-09-27,2016-09-27 08:30:00,2016-09-27 23:45:00,02High temperature
2016-09-28,2016-09-28 01:15:00,2016-09-28 21:00:00,02High temperature
2016-10-05,2016-10-05 13:30:00,2016-10-05 15:30:00,02High temperature
2016-10-06,2016-10-06 18:30:00,2016-10-06 18:30:00,02High temperature
2016-10-07,2016-10-07 13:30:00,2016-10-07 13:30:00,02High temperature
2016-10-08,2016-10-08 09:30:00,2016-10-08 15:30:00,02High temperature
