,Power Load,NaturalGasBoiler,Total Power Consumption,Marginal Power Price,Marginal Power Emissions,Grid Power
2023-02-17 03:30:00,353.70296532103134,0.0,353.70296532103134,0.14186,0.3705571091613976,88.42574133025784
2023-02-17 03:45:00,360.77739620538,0.0,360.77739620538,0.14186,0.3729833082833367,90.194349051345
2023-02-17 04:00:00,339.5541035523341,0.0,339.5541035523341,0.14186,0.3606145581884507,84.88852588808352
2023-02-17 04:15:00,339.5541035523341,0.0,339.5541035523341,0.14186,0.3654570220039719,84.88852588808352
2023-02-17 04:30:00,339.5541035523341,0.0,339.5541035523341,0.14186,0.3950122313681163,84.88852588808352
2023-02-17 04:45:00,325.407306105459,0.0,325.407306105459,0.14186,0.405458242069916,81.35182652636475
2023-02-17 05:00:00,353.70296532103134,0.0,353.70296532103134,0.14186,0.3715556006409486,88.42574133025784
2023-02-17 05:15:00,325.407306105459,0.0,325.407306105459,0.14186,0.4061127946825,81.35182652636475
2023-02-17 05:30:00,332.48173698980764,0.0,332.48173698980764,0.14186,0.46714538279569,83.12043424745191
2023-02-17 05:45:00,325.407306105459,0.0,325.407306105459,0.14186,0.4873187256659643,81.35182652636475
2023-02-17 06:00:00,332.48173698980764,0.0,332.48173698980764,0.14186,0.4440741590309029,83.12043424745191
2023-02-17 06:15:00,339.5541035523341,0.0,339.5541035523341,0.14186,0.4624428763468683,84.88852588808352
2023-02-17 06:30:00,325.407306105459,0.0,325.407306105459,0.14186,0.48757848653856,81.35182652636475
2023-02-17 06:45:00,339.5541035523341,0.0,339.5541035523341,0.14186,0.487845576087812,84.88852588808352
2023-02-17 07:00:00,325.407306105459,0.0,325.407306105459,0.14186,0.517530747317994,81.35182652636475
2023-02-17 07:15:00,318.3328752211104,0.0,318.3328752211104,0.14186,0.4899423919089203,79.5832188052776
2023-02-17 07:30:00,282.9627851211895,0.0,282.9627851211895,0.14186,0.4046854534739446,70.74069628029737
2023-02-17 07:45:00,282.9627851211895,0.0,282.9627851211895,0.14186,0.3481889090623016,70.74069628029737
2023-02-17 08:00:00,275.8883542368409,0.0,275.8883542368409,0.14186,0.3678543746402947,68.97208855921022
2023-02-17 08:15:00,247.59269502126855,0.0,247.59269502126855,0.14186,0.348567333424424,61.89817375531714
2023-02-17 08:30:00,205.14817403699905,0.0,205.14817403699905,0.14186,0.3179183597841973,51.28704350924976
2023-02-17 08:45:00,176.8525148214267,0.0,176.8525148214267,0.14186,0.2881068910263046,44.213128705356674
2023-02-17 09:00:00,169.7780839370781,0.0,169.7780839370781,0.14186,0.341001960869559,42.44452098426952
2023-02-17 09:15:00,127.3335629528086,0.0,127.3335629528086,0.14186,0.323525306362147,31.83339073820215
2023-02-17 09:30:00,205.14817403699905,0.0,205.14817403699905,0.14186,0.307212099631358,51.28704350924976
2023-02-17 09:45:00,233.44383325257138,0.0,233.44383325257138,0.14186,0.2833155040155903,58.360958313142845
2023-02-17 10:00:00,240.51826413691995,0.0,240.51826413691995,0.14186,0.254467043727771,60.12956603422999
2023-02-17 10:15:00,233.44383325257138,0.0,233.44383325257138,0.14186,0.2009583804314673,58.360958313142845
2023-02-17 10:30:00,240.51826413691995,0.0,240.51826413691995,0.14186,0.1564090243474923,60.12956603422999
2023-02-17 10:45:00,226.36940236822275,0.0,226.36940236822275,0.14186,0.098896419989759,56.59235059205569
2023-02-17 11:00:00,240.51826413691995,0.0,240.51826413691995,0.14186,0.1131901895104693,60.12956603422999
2023-02-17 11:15:00,268.8139233524923,0.0,268.8139233524923,0.14186,0.0676610707872875,67.20348083812307
2023-02-17 11:30:00,282.9627851211895,0.0,282.9627851211895,0.14186,0.0,70.74069628029737
2023-02-17 11:45:00,318.3328752211104,0.0,318.3328752211104,0.14186,0.0,79.5832188052776
2023-02-17 12:00:00,318.3328752211104,0.0,318.3328752211104,0.14186,0.0,79.5832188052776
2023-02-17 12:15:00,325.407306105459,0.0,325.407306105459,0.14186,0.0,81.35182652636475
2023-02-17 12:30:00,318.3328752211104,0.0,318.3328752211104,0.14186,0.0,79.5832188052776
2023-02-17 12:45:00,318.3328752211104,0.0,318.3328752211104,0.14186,0.0,79.5832188052776
2023-02-17 13:00:00,311.2584443367618,0.0,311.2584443367618,0.14186,0.0158035990565191,77.81461108419045
2023-02-17 13:15:00,311.2584443367618,0.0,311.2584443367618,0.14186,0.0326184944193023,77.81461108419045
2023-02-17 13:30:00,304.1840134524132,0.0,304.1840134524132,0.14186,0.1077150776825925,76.0460033631033
2023-02-17 13:45:00,268.8139233524923,0.0,268.8139233524923,0.14186,0.12656309045188,67.20348083812307
2023-02-17 14:00:00,282.9627851211895,0.0,282.9627851211895,0.14186,0.0148941306409072,70.74069628029737
2023-02-17 14:15:00,247.59269502126855,0.0,247.59269502126855,0.14186,0.179239623228731,61.89817375531714
2023-02-17 14:30:00,275.8883542368409,0.0,275.8883542368409,0.14186,0.1667900948311436,68.97208855921022
2023-02-17 14:45:00,261.7394924681437,0.0,261.7394924681437,0.14186,0.173148576842762,65.43487311703592
2023-02-17 15:00:00,254.6671259056172,0.0,254.6671259056172,0.14186,0.027167791156178,63.6667814764043
2023-02-17 15:15:00,226.36940236822275,0.0,226.36940236822275,0.14186,0.1404954340688233,56.59235059205569
2023-02-17 15:30:00,240.51826413691995,0.0,240.51826413691995,0.14186,0.1995141832666026,60.12956603422999
2023-02-17 15:45:00,212.22260492134765,0.0,212.22260492134765,0.14186,0.290775933992224,53.05565123033691
2023-02-17 16:00:00,226.36940236822275,0.0,226.36940236822275,0.19348,0.1759043424824476,56.59235059205569
2023-02-17 16:15:00,240.51826413691995,0.0,240.51826413691995,0.19348,0.2644946887796719,60.12956603422999
2023-02-17 16:30:00,226.36940236822275,0.0,226.36940236822275,0.19348,0.315633074828411,56.59235059205569
2023-02-17 16:45:00,240.51826413691995,0.0,240.51826413691995,0.19348,0.3536856812011853,60.12956603422999
2023-02-17 17:00:00,247.59269502126855,0.0,247.59269502126855,0.19348,0.3406537876560793,61.89817375531714
2023-02-17 17:15:00,304.1840134524132,0.0,304.1840134524132,0.19348,0.3856235451334687,76.0460033631033
2023-02-17 17:30:00,381.9986245366037,0.0,381.9986245366037,0.19348,0.4300767123363296,95.49965613415092
2023-02-17 17:45:00,481.0365282738399,0.0,481.0365282738399,0.19348,0.4573424634704799,120.25913206845998
2023-02-17 18:00:00,473.96209738949136,0.0,473.96209738949136,0.19348,0.432171085265219,118.49052434737284
2023-02-17 18:15:00,488.11095915818856,0.0,488.11095915818856,0.19348,0.421301069903982,122.02773978954714
2023-02-17 18:30:00,473.96209738949136,0.0,473.96209738949136,0.19348,0.3962096557040153,118.49052434737284
2023-02-17 18:45:00,459.8132356207941,0.0,459.8132356207941,0.19348,0.408903982259358,114.95330890519853
2023-02-17 19:00:00,452.7408690582676,0.0,452.7408690582676,0.19348,0.4152902521699646,113.1852172645669
2023-02-17 19:15:00,410.2963480739981,0.0,410.2963480739981,0.19348,0.4335426674588813,102.57408701849953
2023-02-17 19:30:00,360.77739620538,0.0,360.77739620538,0.19348,0.4229971903289073,90.194349051345
2023-02-17 19:45:00,339.5541035523341,0.0,339.5541035523341,0.19348,0.4231906673926333,84.88852588808352
2023-02-17 20:00:00,332.48173698980764,0.0,332.48173698980764,0.19348,0.44393644098207,83.12043424745191
2023-02-17 20:15:00,304.1840134524132,0.0,304.1840134524132,0.19348,0.4431157309837399,76.0460033631033
2023-02-17 20:30:00,247.59269502126855,0.0,247.59269502126855,0.19348,0.440457172096926,61.89817375531714
2023-02-17 20:45:00,247.59269502126855,0.0,247.59269502126855,0.19348,0.4246658282163713,61.89817375531714
2023-02-17 21:00:00,240.51826413691995,0.0,240.51826413691995,0.14186,0.4419062346887933,60.12956603422999
2023-02-17 21:15:00,247.59269502126855,0.0,247.59269502126855,0.14186,0.4511890011883223,61.89817375531714
2023-02-17 21:30:00,325.407306105459,0.0,325.407306105459,0.14186,0.4440350727554027,81.35182652636475
2023-02-17 21:45:00,332.48173698980764,0.0,332.48173698980764,0.14186,0.4357466041037829,83.12043424745191
2023-02-17 22:00:00,346.62853443668274,0.0,346.62853443668274,0.14186,0.459791035413656,86.65713360917069
2023-02-17 22:15:00,374.92625797407715,0.0,374.92625797407715,0.14186,0.4476610169608486,93.73156449351929
2023-02-17 22:30:00,389.07305542095224,0.0,389.07305542095224,0.14186,0.4477951113862239,97.26826385523806
2023-02-17 22:45:00,381.9986245366037,0.0,381.9986245366037,0.14186,0.430442250441998,95.49965613415092
2023-02-17 23:00:00,360.77739620538,0.0,360.77739620538,0.14186,0.419200956178378,90.194349051345
2023-02-17 23:15:00,360.77739620538,0.0,360.77739620538,0.14186,0.39528343311927,90.194349051345
2023-02-17 23:30:00,374.92625797407715,0.0,374.92625797407715,0.14186,0.382925085673748,93.73156449351929
2023-02-17 23:45:00,374.92625797407715,0.0,374.92625797407715,0.14186,0.3801911635619853,93.73156449351929
2023-02-18 00:00:00,381.9986245366037,0.0,381.9986245366037,0.14186,0.3824579135838086,95.49965613415092
2023-02-18 00:15:00,431.51757640522186,0.0,431.51757640522186,0.14186,0.3745070419665353,107.87939410130546
2023-02-18 00:30:00,502.25775660506366,0.0,502.25775660506366,0.14186,0.3814406894984407,125.56443915126592
2023-02-18 00:45:00,481.0365282738399,0.0,481.0365282738399,0.14186,0.3855302515922023,120.25913206845998
2023-02-18 01:00:00,544.7022775893332,0.0,544.7022775893332,0.14186,0.372972244778872,136.1755693973333
