,Heat Load,NaturalGasBoiler,Total Heat Output
2023-01-01 13:15:00,557.8785131129969,557.8785131129969,557.8785131129969
2023-01-01 13:30:00,535.2617571768881,535.2617571768881,535.2617571768881
2023-01-01 13:45:00,523.9533792088336,523.9533792088336,523.9533792088336
2023-01-01 14:00:00,510.76017991416467,510.76017991416467,510.76017991416467
2023-01-01 14:15:00,503.2214445993393,503.2214445993393,503.2214445993393
2023-01-01 14:30:00,501.3366232727248,501.3366232727248,501.3366232727248
2023-01-01 14:45:00,493.79788795789955,493.79788795789955,493.79788795789955
2023-01-01 15:00:00,493.79788795789955,493.79788795789955,493.79788795789955
2023-01-01 15:15:00,491.9130666312849,491.91306663128495,491.91306663128495
2023-01-01 15:30:00,488.1439739696888,488.1439739696887,488.1439739696887
2023-01-01 15:45:00,486.25915264307406,486.25915264307406,486.25915264307406
2023-01-01 16:00:00,478.7204173282488,478.7204173282488,478.7204173282488
2023-01-01 16:15:00,486.2597026347072,486.2597026347072,486.2597026347072
2023-01-01 16:30:00,480.6052386548635,480.6052386548635,480.6052386548635
2023-01-01 16:45:00,488.1439739696887,488.1439739696887,488.1439739696887
2023-01-01 17:00:00,491.9130666312849,491.91306663128495,491.91306663128495
2023-01-01 17:15:00,499.4518019461101,499.4518019461101,499.4518019461101
2023-01-01 17:30:00,516.4140939023752,516.4140939023752,516.4140939023752
2023-01-01 17:45:00,525.837650543815,525.837650543815,525.837650543815
2023-01-01 18:00:00,533.3763858586401,533.3763858586401,533.3763858586401
2023-01-01 18:15:00,533.3763858586403,533.3763858586403,533.3763858586403
2023-01-01 18:30:00,539.030299846851,539.030299846851,539.030299846851
2023-01-01 18:45:00,546.5690351616763,546.5690351616763,546.5690351616763
2023-01-01 19:00:00,546.5690351616762,546.5690351616762,546.5690351616762
2023-01-01 19:15:00,554.1083204681346,554.1083204681346,554.1083204681346
2023-01-01 19:30:00,552.22349914152,552.22349914152,552.22349914152
2023-01-01 19:45:00,542.7999425000802,542.7999425000802,542.7999425000802
2023-01-01 20:00:00,531.4915645320257,531.4915645320257,531.4915645320257
2023-01-01 20:15:00,514.5292725757607,514.5292725757607,514.5292725757607
2023-01-01 20:30:00,503.2208946077062,503.2208946077062,503.2208946077062
2023-01-01 20:45:00,490.0276953130372,490.02769531303727,490.02769531303727
2023-01-01 21:00:00,482.4884100065789,482.4884100065789,482.4884100065789
2023-01-01 21:15:00,476.83449601836816,476.83449601836816,476.83449601836816
2023-01-01 21:30:00,467.4109393769283,467.4109393769283,467.4109393769283
2023-01-01 21:45:00,463.6412967236992,463.6412967236992,463.6412967236992
2023-01-01 22:00:00,456.1020114172408,456.1020114172408,456.1020114172408
2023-01-01 22:15:00,448.5632761024155,448.5632761024155,448.5632761024155
2023-01-01 22:30:00,452.3329187556448,452.3329187556448,452.3329187556448
2023-01-01 22:45:00,473.55455759564927,473.55455759564927,473.55455759564927
2023-01-01 23:00:00,504.1795714262355,504.17957142623555,504.17957142623555
2023-01-01 23:15:00,529.7853056000134,529.7853056000134,529.7853056000134
2023-01-01 23:30:00,562.2951407572143,562.2951407572143,562.2951407572143
2023-01-01 23:45:00,609.2267159255841,609.2267159255841,609.2267159255841
2023-01-02 00:00:00,387.3937039780501,387.3937039780501,387.3937039780501
2023-01-02 00:15:00,416.3661664188618,416.3661664188618,416.3661664188618
2023-01-02 00:30:00,442.3204214551392,442.3204214551392,442.3204214551392
2023-01-02 00:45:00,469.4080625693363,469.4080625693363,469.4080625693363
2023-01-02 01:00:00,493.47749627899896,493.477496278999,493.477496278999
2023-01-02 01:15:00,518.2983652373567,518.2983652373567,518.2983652373567
2023-01-02 01:30:00,531.4915645320257,531.4915645320257,531.4915645320257
2023-01-02 01:45:00,539.0302998468509,539.0302998468509,539.0302998468509
2023-01-02 02:00:00,546.5690351616763,546.5690351616763,546.5690351616763
2023-01-02 02:15:00,550.3386778149054,550.3386778149054,550.3386778149054
2023-01-02 02:30:00,552.22349914152,552.22349914152,552.22349914152
2023-01-02 02:45:00,555.992591803116,555.992591803116,555.992591803116
2023-01-02 03:00:00,550.3386778149054,550.3386778149054,550.3386778149054
2023-01-02 03:15:00,552.2234991415199,552.2234991415199,552.2234991415199
2023-01-02 03:30:00,552.22349914152,552.22349914152,552.22349914152
2023-01-02 03:45:00,554.1083204681345,554.1083204681345,554.1083204681345
2023-01-02 04:00:00,554.1083204681345,554.1083204681345,554.1083204681345
2023-01-02 04:15:00,552.22349914152,552.22349914152,552.22349914152
2023-01-02 04:30:00,552.22349914152,552.22349914152,552.22349914152
2023-01-02 04:45:00,554.1083204681345,554.1083204681345,554.1083204681345
2023-01-02 05:00:00,555.992591803116,555.992591803116,555.992591803116
