Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29330.332
Power Load Factor (%),44.09
Heat Load Factor (%),33.39
Power Consumption (MWh/year),10000.0
Net Power Consumption (MWh/year),10000.0
Gas Consumption (MWh/year),30874.034
Total Cost (M$/year),3.396
Operational Emissions (MtonCO2/year),11.0
LCOE (Energy) ($/kWh),0.086
CIE (Energy) (kgCO2/kWh),0.28
Gas Boiler Capacity (MW),10.027
Heat Pump Capacity (MW),0.0
Electric Boiler Capacity (MW),0.0
Battery Capacity (MWh),0.0
Thermal Storage Energy Capacity (MWh),0.0
Thermal Storage Power Capacity (MW),0.0
PV System Capacity (MW),0.0
Wind System Capacity (MW),0.0
Battery Cycles (cycles/year),0.0
